="[Header]"	
="System"	="TOC-Vcpn"	
="File Ver."	="00.00.01E"	
="User"	=""	
="Date of creation"	="8/5/2019 11:00:05 AM"	
="Comments"	="final 8 samples!
"	

="[System]"	
="Detector"	="Combustion"	
="Catalyst"	="High Sensitivity"	
="ASI Tray"	="40 mL Vials"	

="[Data]"	
="Unknown"	="NPOC/TN"	="1039"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	1.00	=""	="8/5/2019 4:30:22 PM"	="1"	="1"	="TN"	="1.292"	="0.3666"	="NPOC:4.361mg/L TN:0.3804mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="1039"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	1.00	=""	="8/5/2019 4:33:17 PM"	="1"	="2"	="TN"	="1.386"	="0.3874"	="NPOC:4.361mg/L TN:0.3804mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="1039"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	1.00	=""	="8/5/2019 4:36:14 PM"	="1"	="3"	="TN"	="1.385"	="0.3871"	="NPOC:4.361mg/L TN:0.3804mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="1041"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	1.00	=""	="8/5/2019 4:48:52 PM"	="1"	="1"	="NPOC"	="20.42"	="4.439"	="NPOC:4.465mg/L TN:0.4361mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="1041"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	1.00	=""	="8/5/2019 4:51:41 PM"	="1"	="2"	="NPOC"	="20.45"	="4.445"	="NPOC:4.465mg/L TN:0.4361mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="1041"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	1.00	=""	="8/5/2019 4:54:28 PM"	="1"	="3"	="NPOC"	="20.78"	="4.510"	="NPOC:4.465mg/L TN:0.4361mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="1041"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	1.00	=""	="8/5/2019 4:48:52 PM"	="1"	="1"	="TN"	="2.293"	="0.5876"	="NPOC:4.465mg/L TN:0.4361mg/L"	1	="80"	
="Unknown"	="NPOC/TN"	="1041"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	1.00	=""	="8/5/2019 4:51:41 PM"	="1"	="2"	="TN"	="1.759"	="0.4697"	="NPOC:4.465mg/L TN:0.4361mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="1041"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	1.00	=""	="8/5/2019 4:54:28 PM"	="1"	="3"	="TN"	="1.455"	="0.4026"	="NPOC:4.465mg/L TN:0.4361mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="1041"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	1.00	=""	="8/5/2019 4:57:28 PM"	="1"	="4"	="TN"	="2.058"	="0.5357"	="NPOC:4.465mg/L TN:0.4361mg/L"	1	="80"	
="Unknown"	="NPOC/TN"	="1041"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	1.00	=""	="8/5/2019 5:00:04 PM"	="1"	="5"	="TN"	="1.606"	="0.4359"	="NPOC:4.465mg/L TN:0.4361mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="1043"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	1.00	=""	="8/5/2019 5:09:31 PM"	="1"	="1"	="NPOC"	="19.03"	="4.166"	="NPOC:4.186mg/L TN:0.4268mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="1043"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	1.00	=""	="8/5/2019 5:12:32 PM"	="1"	="2"	="NPOC"	="19.12"	="4.184"	="NPOC:4.186mg/L TN:0.4268mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="1043"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	1.00	=""	="8/5/2019 5:15:27 PM"	="1"	="3"	="NPOC"	="20.00"	="4.357"	="NPOC:4.186mg/L TN:0.4268mg/L"	1	="80"	
="Unknown"	="NPOC/TN"	="1043"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	1.00	=""	="8/5/2019 5:18:23 PM"	="1"	="4"	="NPOC"	="20.24"	="4.404"	="NPOC:4.186mg/L TN:0.4268mg/L"	1	="80"	
="Unknown"	="NPOC/TN"	="1043"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	1.00	=""	="8/5/2019 5:21:28 PM"	="1"	="5"	="NPOC"	="19.24"	="4.207"	="NPOC:4.186mg/L TN:0.4268mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="1043"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	1.00	=""	="8/5/2019 5:09:32 PM"	="1"	="1"	="TN"	="1.036"	="0.3101"	="NPOC:4.186mg/L TN:0.4268mg/L"	1	="80"	
="Unknown"	="NPOC/TN"	="1043"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	1.00	=""	="8/5/2019 5:12:32 PM"	="1"	="2"	="TN"	="1.565"	="0.4269"	="NPOC:4.186mg/L TN:0.4268mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="1043"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	1.00	=""	="8/5/2019 5:15:27 PM"	="1"	="3"	="TN"	="1.587"	="0.4317"	="NPOC:4.186mg/L TN:0.4268mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="1043"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	1.00	=""	="8/5/2019 5:18:23 PM"	="1"	="4"	="TN"	="1.542"	="0.4218"	="NPOC:4.186mg/L TN:0.4268mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="1038"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	1.00	=""	="8/5/2019 5:31:19 PM"	="1"	="1"	="NPOC"	="53.23"	="10.89"	="NPOC:10.86mg/L TN:1.489mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="1038"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	1.00	=""	="8/5/2019 5:34:40 PM"	="1"	="2"	="NPOC"	="52.25"	="10.69"	="NPOC:10.86mg/L TN:1.489mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="1038"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	1.00	=""	="8/5/2019 5:38:06 PM"	="1"	="3"	="NPOC"	="55.03"	="11.24"	="NPOC:10.86mg/L TN:1.489mg/L"	1	="80"	
="Unknown"	="NPOC/TN"	="1038"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	1.00	=""	="8/5/2019 5:41:29 PM"	="1"	="4"	="NPOC"	="53.75"	="10.99"	="NPOC:10.86mg/L TN:1.489mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="1038"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	1.00	=""	="8/5/2019 5:31:19 PM"	="1"	="1"	="TN"	="6.531"	="1.523"	="NPOC:10.86mg/L TN:1.489mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="1038"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	1.00	=""	="8/5/2019 5:34:40 PM"	="1"	="2"	="TN"	="6.064"	="1.420"	="NPOC:10.86mg/L TN:1.489mg/L"	1	="80"	
="Unknown"	="NPOC/TN"	="1038"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	1.00	=""	="8/5/2019 5:38:06 PM"	="1"	="3"	="TN"	="6.383"	="1.490"	="NPOC:10.86mg/L TN:1.489mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="1038"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	1.00	=""	="8/5/2019 5:41:29 PM"	="1"	="4"	="TN"	="6.217"	="1.454"	="NPOC:10.86mg/L TN:1.489mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="1038"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	1.00	=""	="8/5/2019 5:44:17 PM"	="1"	="5"	="TN"	="5.764"	="1.354"	="NPOC:10.86mg/L TN:1.489mg/L"	1	="80"	
="Unknown"	="NPOC/TN"	="1040"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	1.00	=""	="8/5/2019 5:53:58 PM"	="1"	="1"	="NPOC"	="36.85"	="7.667"	="NPOC:7.621mg/L TN:0.8891mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="1040"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	1.00	=""	="8/5/2019 5:57:14 PM"	="1"	="2"	="NPOC"	="36.59"	="7.616"	="NPOC:7.621mg/L TN:0.8891mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="1040"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	1.00	=""	="8/5/2019 6:00:32 PM"	="1"	="3"	="NPOC"	="38.55"	="8.001"	="NPOC:7.621mg/L TN:0.8891mg/L"	1	="80"	
="Unknown"	="NPOC/TN"	="1040"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	1.00	=""	="8/5/2019 6:03:43 PM"	="1"	="4"	="NPOC"	="38.14"	="7.921"	="NPOC:7.621mg/L TN:0.8891mg/L"	1	="80"	
="Unknown"	="NPOC/TN"	="1040"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	1.00	=""	="8/5/2019 6:06:59 PM"	="1"	="5"	="NPOC"	="36.40"	="7.579"	="NPOC:7.621mg/L TN:0.8891mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="1040"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	1.00	=""	="8/5/2019 5:53:58 PM"	="1"	="1"	="TN"	="3.636"	="0.8840"	="NPOC:7.621mg/L TN:0.8891mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="1040"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	1.00	=""	="8/5/2019 5:57:14 PM"	="1"	="2"	="TN"	="3.973"	="0.9584"	="NPOC:7.621mg/L TN:0.8891mg/L"	1	="80"	
="Unknown"	="NPOC/TN"	="1040"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	1.00	=""	="8/5/2019 6:00:32 PM"	="1"	="3"	="TN"	="3.738"	="0.9065"	="NPOC:7.621mg/L TN:0.8891mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="1040"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	1.00	=""	="8/5/2019 6:03:43 PM"	="1"	="4"	="TN"	="3.478"	="0.8491"	="NPOC:7.621mg/L TN:0.8891mg/L"	1	="80"	
="Unknown"	="NPOC/TN"	="1040"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	1.00	=""	="8/5/2019 6:06:59 PM"	="1"	="5"	="TN"	="3.604"	="0.8769"	="NPOC:7.621mg/L TN:0.8891mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="1042"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	1.00	=""	="8/5/2019 6:16:39 PM"	="1"	="1"	="NPOC"	="35.13"	="7.329"	="NPOC:7.629mg/L TN:0.7645mg/L"	1	="80"	
="Unknown"	="NPOC/TN"	="1042"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	1.00	=""	="8/5/2019 6:19:50 PM"	="1"	="2"	="NPOC"	="35.38"	="7.379"	="NPOC:7.629mg/L TN:0.7645mg/L"	1	="80"	
="Unknown"	="NPOC/TN"	="1042"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	1.00	=""	="8/5/2019 6:23:09 PM"	="1"	="3"	="NPOC"	="37.11"	="7.718"	="NPOC:7.629mg/L TN:0.7645mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="1042"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	1.00	=""	="8/5/2019 6:26:23 PM"	="1"	="4"	="NPOC"	="36.72"	="7.642"	="NPOC:7.629mg/L TN:0.7645mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="1042"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	1.00	=""	="8/5/2019 6:29:31 PM"	="1"	="5"	="NPOC"	="36.14"	="7.528"	="NPOC:7.629mg/L TN:0.7645mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="1042"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	1.00	=""	="8/5/2019 6:16:39 PM"	="1"	="1"	="TN"	="2.991"	="0.7416"	="NPOC:7.629mg/L TN:0.7645mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="1042"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	1.00	=""	="8/5/2019 6:19:50 PM"	="1"	="2"	="TN"	="3.139"	="0.7743"	="NPOC:7.629mg/L TN:0.7645mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="1042"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	1.00	=""	="8/5/2019 6:23:09 PM"	="1"	="3"	="TN"	="3.488"	="0.8513"	="NPOC:7.629mg/L TN:0.7645mg/L"	1	="80"	
="Unknown"	="NPOC/TN"	="1042"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	1.00	=""	="8/5/2019 6:26:23 PM"	="1"	="4"	="TN"	="3.154"	="0.7776"	="NPOC:7.629mg/L TN:0.7645mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="1044"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	1.00	=""	="8/5/2019 6:39:19 PM"	="1"	="1"	="NPOC"	="39.16"	="8.121"	="NPOC:8.153mg/L TN:0.7978mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="1044"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	1.00	=""	="8/5/2019 6:42:31 PM"	="1"	="2"	="NPOC"	="38.95"	="8.080"	="NPOC:8.153mg/L TN:0.7978mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="1044"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	1.00	=""	="8/5/2019 6:45:44 PM"	="1"	="3"	="NPOC"	="41.62"	="8.605"	="NPOC:8.153mg/L TN:0.7978mg/L"	1	="80"	
="Unknown"	="NPOC/TN"	="1044"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	1.00	=""	="8/5/2019 6:48:53 PM"	="1"	="4"	="NPOC"	="39.86"	="8.259"	="NPOC:8.153mg/L TN:0.7978mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="1044"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	1.00	=""	="8/5/2019 6:39:19 PM"	="1"	="1"	="TN"	="3.088"	="0.7630"	="NPOC:8.153mg/L TN:0.7978mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="1044"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	1.00	=""	="8/5/2019 6:42:31 PM"	="1"	="2"	="TN"	="3.450"	="0.8429"	="NPOC:8.153mg/L TN:0.7978mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="1044"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	1.00	=""	="8/5/2019 6:45:44 PM"	="1"	="3"	="TN"	="3.727"	="0.9041"	="NPOC:8.153mg/L TN:0.7978mg/L"	1	="80"	
="Unknown"	="NPOC/TN"	="1044"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	1.00	=""	="8/5/2019 6:48:53 PM"	="1"	="4"	="TN"	="3.872"	="0.9361"	="NPOC:8.153mg/L TN:0.7978mg/L"	1	="80"	
="Unknown"	="NPOC/TN"	="1044"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	1.00	=""	="8/5/2019 6:51:36 PM"	="1"	="5"	="TN"	="3.198"	="0.7873"	="NPOC:8.153mg/L TN:0.7978mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="25ppm"	="25ppm"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	1.00	=""	="8/5/2019 7:02:40 PM"	="1"	="1"	="NPOC"	="27.55"	="23.36"	="NPOC:23.26mg/L TN:22.81mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="25ppm"	="25ppm"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	1.00	=""	="8/5/2019 7:05:57 PM"	="1"	="2"	="NPOC"	="27.24"	="23.12"	="NPOC:23.26mg/L TN:22.81mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="25ppm"	="25ppm"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	1.00	=""	="8/5/2019 7:09:26 PM"	="1"	="3"	="NPOC"	="29.16"	="24.63"	="NPOC:23.26mg/L TN:22.81mg/L"	1	="80"	
="Unknown"	="NPOC/TN"	="25ppm"	="25ppm"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	1.00	=""	="8/5/2019 7:12:39 PM"	="1"	="4"	="NPOC"	="28.62"	="24.20"	="NPOC:23.26mg/L TN:22.81mg/L"	1	="80"	
="Unknown"	="NPOC/TN"	="25ppm"	="25ppm"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	1.00	=""	="8/5/2019 7:15:31 PM"	="1"	="5"	="NPOC"	="27.47"	="23.30"	="NPOC:23.26mg/L TN:22.81mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="25ppm"	="25ppm"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	1.00	=""	="8/5/2019 7:02:40 PM"	="1"	="1"	="TN"	="25.47"	="22.81"	="NPOC:23.26mg/L TN:22.81mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="25ppm"	="25ppm"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	1.00	=""	="8/5/2019 7:05:57 PM"	="1"	="2"	="TN"	="25.42"	="22.77"	="NPOC:23.26mg/L TN:22.81mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="25ppm"	="25ppm"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	1.00	=""	="8/5/2019 7:09:26 PM"	="1"	="3"	="TN"	="26.85"	="24.03"	="NPOC:23.26mg/L TN:22.81mg/L"	1	="80"	
="Unknown"	="NPOC/TN"	="25ppm"	="25ppm"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	1.00	=""	="8/5/2019 7:12:39 PM"	="1"	="4"	="TN"	="25.52"	="22.86"	="NPOC:23.26mg/L TN:22.81mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="DI"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	1.00	=""	="8/5/2019 7:24:12 PM"	="1"	="1"	="NPOC"	="1.036"	="0.6305"	="NPOC:0.6286mg/L TN:0.08145mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="DI"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	1.00	=""	="8/5/2019 7:26:28 PM"	="1"	="2"	="NPOC"	="1.017"	="0.6267"	="NPOC:0.6286mg/L TN:0.08145mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="DI"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	1.00	=""	="8/5/2019 7:28:39 PM"	="1"	="3"	="NPOC"	="1.026"	="0.6285"	="NPOC:0.6286mg/L TN:0.08145mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="DI"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	1.00	=""	="8/5/2019 7:24:12 PM"	="1"	="1"	="TN"	="0.000"	="0.08145"	="NPOC:0.6286mg/L TN:0.08145mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="DI"	="DI"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_05_13_35_26.cal"	1.00	=""	="8/5/2019 7:26:28 PM"	="1"	="2"	="TN"	="0.000"	="0.08145"	="NPOC:0.6286mg/L TN:0.08145mg/L"	0	="80"	
