No.,pedon_ID,location,horizon,group_veg,group_moist,soil_temp,latitude,longitude,elevation_m,MAT_C,MAP_mm,aridity,region,soil_order,dominant_vegetation_class,biome,soil_moisture_regime,soil_temperature_regime,state,soil_series_name,series_extent_map_acres,common_vegetation,soil_family,LCMS_no
89,54,Bangor,c,C,L,X,44.96711,-68.5414,51,6.08,1067,0.828,northeast,spodosol,mixed coniferous and hardwood forest,temperate deciduous forest,aquic,frigid,maine,peru,"1,676,254","red maple, elm, gray birch, white ash, balsam fir, red and white spruce, tamarack, and some eastern white pine","Coarse-loamy, isotic, frigid Aquic Haplorthods",89
90,55,Aroostook,c,C,L,X,46.60899,-68.00531,193,3.84,924,0.803,northeast,spodosol,mixed coniferous and hardwood forest,temperate deciduous forest,aquic,frigid,maine,plaisted,"642,598","sugar maple, yellow birch, paper birch, eastern white pine, red pine, white spruce, red spruce and balsam fir","Coarse-loamy, isotic, frigid Oxyaquic Haplorthods",90
91,57,Halifax,c,C,M,Y,44.69163,-63.69352,57,6.56,1448,1.281,northeast,spodosol,mixed coniferous and hardwood forest,temperate deciduous forest,udic,cryic,nova scotia,,,,,91
92,59,Portobello Creek,c,A,M,Y,45.90001,-66.25795,12,5.64,1115,0.978,northeast,vertisol,deciduous hardwood forest,temperate deciduous forest,udic,cryic,new brunswick,,,,,92
95,64,Moscow Mountain,c,B,O,X,46.79864,-116.90064,1021.3,7.16,700,0.466,mountain west,alfisol,coniferous forest,temperate grassland,xeric,frigid,idaho,kruse,"48,198","grand fir, Douglas-fir, western white pine, ponderosa pine, western larch, and lodgepole pine, with an understory of myrtle pachystima, Columbia brome, American trailplant, baldhip rose, starry false-Solomon's-seal, sweetscented bedstraw, pine reedgrass, common snowberry, elk sedge, mallow ninebark, creambush oceanspray, and white spirea","Fine-loamy, isotic, frigid Vitrandic Haploxeralfs",95
96,67,Wallowa National Forest,c,B,M,X,45.6937,-117.27432,1489.8,4.96,496,0.34,mountain west,andisol,coniferous forest,temperate coniferous forest,udic,frigid,oregon,syrupcreek,"217,188","grand fir, western larch, lodgepole pine, twinflower, princes pine, pinegrass, big huckleberry, and round-leaved violet","Ashy over loamy-skeletal, amorphic over isotic, frigid Alfic Udivitrands",96
97,68,Ribdon,c,F,L,Z,68.87527,-148.85725,435,-9.57,215,0.348,arctic,gelisol,tussock sedges and forbes,tundra,aquic,pergelic,alaska,,,"cottongrass, sedges, forbes, lichen, woody shrubs, mosses",,97
98,69,Sagavanirktok,c,F,L,Z,68.80778,-148.8183,449,-9.32,217,0.343,arctic,gelisol,tussock sedges and forbes,tundra,aquic,pergelic,alaska,,,"cottongrass, sedges, forbes, lichen, woody shrubs, mosses",,98
99,71,Slope Mountain,c,F,L,Z,68.6881,-149.08034,771,-8.77,240,0.371,arctic,gelisol,tussock sedges and forbes,tundra,aquic,pergelic,alaska,,,"cottongrass, sedges, forbes, lichen, woody shrubs, mosses",,99
100,72,Kuparuk River,c,F,L,Z,68.64657,-149.40942,735,-9.17,237,0.385,arctic,gelisol,tussock sedges and forbes,tundra,aquic,pergelic,alaska,,,"cottongrass, sedges, forbes, lichen, woody shrubs, mosses",,100
